Station,Latitude,Longitude,Date,Time,Depth,Tube,Chl,Phe,Region
1,48.301,-128.523,19/02/2019,9:30,0,8,0.62,0.16,south
1,48.301,-128.523,19/02/2019,9:30,25,54,0.39,0.48,south
1,48.301,-128.523,19/02/2019,9:30,50,818,0.65,0.21,south
1,48.301,-128.523,19/02/2019,9:30,75,97,0.05,0.05,south
1,48.301,-128.523,19/02/2019,9:30,100,40,0.01,0.03,south
1,48.301,-128.523,19/02/2019,9:30,150,444,0.01,0.02,south
2,48.183,-129.917,19/02/2019,19:05,0,255,0.37,0.48,south
2,48.183,-129.917,19/02/2019,19:05,25,844,0.37,0.44,south
2,48.183,-129.917,19/02/2019,19:05,50,831,0.55,0.19,south
2,48.183,-129.917,19/02/2019,19:05,75,59,0.31,0.41,south
2,48.183,-129.917,19/02/2019,19:05,100,422,0.29,0.49,south
2,48.183,-129.917,19/02/2019,19:05,150,839,0.01,0.00,south
3,47.667,-136.997,21/02/2019,20:21,0,265,0.47,0.33,south
3,47.667,-136.997,21/02/2019,20:21,25,504,0.27,0.54,south
3,47.667,-136.997,21/02/2019,20:21,50,904,0.41,0.45,south
3,47.667,-136.997,21/02/2019,20:21,75,243,0.36,0.47,south
3,47.667,-136.997,21/02/2019,20:21,100,491,0.20,0.25,south
3,47.667,-136.997,21/02/2019,20:21,150,469,0.01,0.03,south
4,47.662,-138.500,22/02/2019,6:30,0,400,0.53,0.22,south
4,47.662,-138.500,22/02/2019,6:30,25,65,0.59,0.25,south
4,47.662,-138.500,22/02/2019,6:30,50,810,0.65,0.13,south
4,47.662,-138.500,22/02/2019,6:30,75,222,0.46,0.40,south
4,47.662,-138.500,22/02/2019,6:30,100,289,0.12,0.13,south
4,47.662,-138.500,22/02/2019,6:30,150,486,0.01,0.04,south
5,47.667,-140.000,22/02/2019,19:00,0,485,0.39,0.45,south
5,47.667,-140.000,22/02/2019,19:00,25,471,0.33,0.43,south
5,47.667,-140.000,22/02/2019,19:00,50,458,0.40,0.37,south
5,47.667,-140.000,22/02/2019,19:00,75,408,0.29,0.47,south
5,47.667,-140.000,22/02/2019,19:00,100,25,0.32,0.00,south
5,47.667,-140.000,22/02/2019,19:00,150,15,0.01,0.04,south
6,47.666,-141.499,23/02/2019,6:00,0,852,0.61,0.16,south
6,47.666,-141.499,23/02/2019,6:00,25,406,0.44,0.40,south
6,47.666,-141.499,23/02/2019,6:00,50,60,0.32,0.48,south
6,47.666,-141.499,23/02/2019,6:00,75,450,0.31,0.47,south
6,47.666,-141.499,23/02/2019,6:00,100,238,0.07,0.07,south
6,47.666,-141.499,23/02/2019,6:00,150,426,0.02,0.03,south
7,47.667,-143.000,23/02/2019,15:20,0,410,0.69,0.18,south
7,47.667,-143.000,23/02/2019,15:20,25,20,0.74,0.23,south
7,47.667,-143.000,23/02/2019,15:20,50,75,0.69,0.12,south
7,47.667,-143.000,23/02/2019,15:20,75,287,0.71,0.16,south
7,47.667,-143.000,23/02/2019,15:20,100,30,0.31,0.28,south
7,47.667,-143.000,23/02/2019,15:20,150,36,0.02,0.04,south
8,47.670,-144.496,23/02/2019,11:45,0,1315,0.61,0.23,south
8,47.670,-144.496,23/02/2019,11:45,25,251,0.72,0.19,south
8,47.670,-144.496,23/02/2019,11:45,50,2,0.58,0.23,south
8,47.670,-144.496,23/02/2019,11:45,75,35,0.35,0.20,south
8,47.670,-144.496,23/02/2019,11:45,100,264,0.27,0.35,south
8,47.670,-144.496,23/02/2019,11:45,150,87,0.03,0.02,south
9,47.666,-145.866,24/02/2019,8:15,0,53,0.68,0.11,south
9,47.666,-145.866,24/02/2019,8:15,25,405,0.73,0.16,south
9,47.666,-145.866,24/02/2019,8:15,50,270,0.45,0.41,south
9,47.666,-145.866,24/02/2019,8:15,75,503,0.26,0.31,south
9,47.666,-145.866,24/02/2019,8:15,100,23,0.14,0.10,south
9,47.666,-145.866,24/02/2019,8:15,150,41,0.02,0.04,south
10,47.667,-147.500,24/02/2019,16:50,0,237,0.64,0.20,south
10,47.667,-147.500,24/02/2019,16:50,25,69,0.59,0.14,south
10,47.667,-147.500,24/02/2019,16:50,50,498,0.58,0.21,south
10,47.667,-147.500,24/02/2019,16:50,75,830,0.42,0.46,south
10,47.667,-147.500,24/02/2019,16:50,100,68,0.29,0.49,south
10,47.667,-147.500,24/02/2019,16:50,150,299,0.01,0.04,south
11,48.668,-147.500,25/02/2019,2:05,0,226,0.44,0.34,south
11,48.668,-147.500,25/02/2019,2:05,25,821,0.38,0.37,south
11,48.668,-147.500,25/02/2019,2:05,50,216,0.37,0.46,south
11,48.668,-147.500,25/02/2019,2:05,75,210,0.37,0.42,south
11,48.668,-147.500,25/02/2019,2:05,100,845,0.33,0.45,south
11,48.668,-147.500,25/02/2019,2:05,150,431,0.02,0.03,south
12,49.667,-147.500,25/02/2019,11:15,0,502,0.34,0.45,south
12,49.667,-147.500,25/02/2019,11:15,25,249,0.38,0.40,south
12,49.667,-147.500,25/02/2019,11:15,50,31,0.35,0.47,south
